paper_i,paper_j
0107084,0103112
0107084,0106249
0107084,9905111
0107084,0106161
0107084,9609017
0107084,9803051
0107084,0104016
0107084,9902153
0107084,9910110
0107084,9712117
0107084,9910150
0107084,0106238
0107084,0011086
0107084,0105254
0107084,0005151
0107084,0105218
0107084,9908160
0107084,0005135
0107084,0003230
0107084,0003218
0107084,0006009
0107084,9803077
0107084,0006103
0107086,0106127
0107086,9909199
0107086,0006030
0107086,0006251
0107086,0001033
0107086,0105255
0107086,0012033
0107086,0104150
0107086,0104177
0107086,0005066
0107086,0012165
0107086,9904017
0107086,0106140
0107086,0003020
0107086,0103031
0107081,9707068
0107081,9909172
0107081,9808141
0107081,9806199
0107081,9811237
0107081,0105155
0107081,0002159
0107081,0208020
0107081,9912257
0107081,9909010
0107081,0005029
0107081,9512059
0107081,9803194
0107081,9810188
0107081,9605042
0107081,9606139
0107081,9604178
0107081,9901101
0107081,9703059
0107081,9904207
0107081,9702093
0107081,9908072
0107081,0007024
0107081,0103099
0107081,9611165
0107081,0006176
0107081,0010279
0107081,0003050
0107081,9711200
0107081,9906234
0107081,9807011
0107081,9911081
0107081,0003037
0107081,0001049
0107081,9908036
0107081,9803141
0107081,0005242
0107081,9810214
0107081,0007090
0107081,0011269
0107081,9811035
0107081,9904092
0107081,9812088
0107081,0006033
0107081,9905006
0107081,9903123
0107081,0107090
0107081,0010179
0107081,9907184
0107081,0012156
0107081,9905146
0107081,9910228
0107081,9805019
0107081,0007170
0107081,9908064
0107081,0009224
0107081,9812118
0107081,9604129
0107081,9712186
0107081,9811156
0107081,0004165
0107081,9906081
0107081,9701137
0107081,9607229
0107081,9707160
0107081,0003024
0107081,9908025
0107081,9602052
0107081,9908023
0107081,9812031
0011079,0010060
0011079,0010090
0011079,0009142
0011079,0003160
0011079,9511030
0011079,9711200
0011079,0009061
0011079,9904207
0011079,9802150
0011079,0012054
0011079,9802068
0011079,0005031
0011079,0010116
0011079,9908142
0011079,9907142
0011072,9912146
0011072,9303012
0011072,9811212
0011072,9910190
0011073,0010091
0011073,9806044
0011073,9911116
0011073,9905115
0011073,0006047
0011073,9912108
0011073,0208020
0011073,0005067
0011073,0008227
0011073,9706047
0011073,9604178
0011073,9904207
0011073,0007024
0011073,0009246
0011073,9704151
0011073,9908130
0011073,9606139
0011073,9910170
0011073,0002211
0011073,9909172
0011073,9805139
0011073,9603133
0011073,9805157
0011073,9804026
0011073,9911021
0011073,0009247
0011073,9812088
0011073,9906039
0011073,0002149
0011073,9808139
0011073,9604129
0011073,9912151
0011073,0005031
0011073,9912249
0011073,9809147
0011073,9904071
0011073,9912204
0011073,0007090
0011073,0011048
0011075,9705131
0011075,9602022
0011075,0004103
0011075,9610151
0011075,9701023
0011075,9908088
0011075,9608099
0011075,9709146
0011075,9610162
0011075,0007195
0011075,0001001
0011075,0005120
0011075,0003198
0011075,9502072
0011075,9912181
0011075,9911011
0011075,9205012
0011075,9606122
0011075,9603090
0011075,9906070
0011075,9504006
0011077,9707068
0011077,9910109
0011077,0003183
0011077,0007191
0011077,0011060
0011077,0002159
0011077,9912275
0011077,0003136
0011077,0009211
0011077,9711200
0011077,0008081
0011077,9906194
0011077,9909047
0011077,0010088
0011077,0012035
0011077,9903026
0011077,9904017
0011077,9912157
0011077,0008076
0011077,9611137
0011077,0007170
0011077,0007097
0011077,9911096
0011077,9906242
0011077,9911161
0210309,0202111
0210309,0202021
0210309,0202179
0210309,0210308
0210309,0202109
0210309,9505052
0210309,0210234
0210309,9311081
0210309,0206033
0210309,0112044
0210309,0205040
0210309,0204054
0210309,0202186
0210309,0208197
0210309,0205048
0210308,0202111
0210308,0006066
0210308,0203164
0210308,0203082
0210308,9812190
0210308,0203229
0210308,0203124
0210308,9807080
0210308,0202186
0210308,0204004
0210308,0206045
0210308,9711200
0210308,0112044
0210308,9802150
0210308,0012076
0210308,0204026
0210308,0202021
0210308,0202109
0210308,0210309
0210308,0206033
0210308,0205106
0210308,9612248
0210308,0208197
0210308,0205048
0210308,0205314
0210308,0205258
0210308,0202157
0210308,0202153
0210308,0209004
0210308,9904017
0212227,0105048
0212227,9912001
0212227,9711200
0212227,0106076
0212227,9802150
0212227,9803251
0212227,0006115
0212225,0212095
0212225,0211271
0212225,0210183
0212225,0211075
0212225,0103067
0212225,0211287
0212225,9510222
0212225,0212083
0212225,0211170
0212225,0211009
0212225,0211254
0212225,0206255
0212225,0208048
0212225,0211234
0212225,0211189
0212225,0212025
0212225,9811131
0212225,0008142
0212225,0211202
0212225,0207106
0104068,9801070
0104068,9601029
0104068,0104169
0104068,9710217
0104068,0007170
0104068,9411187
0104068,9701142
0104068,9712202
0104068,0006228
0104068,9709091
0104068,0009140
0104068,9803120
0104068,9902058
0104068,9912275
0104068,9604091
0104068,0103235
0104068,9612146
0104068,9806159
0104068,9711003
0104064,9603042
0104064,9707005
0104064,9607125
0104064,0005076
0104064,9603002
0104064,9509066
9802051,9605200
9802051,9511108
9802051,9604034
9802051,9801205
9802051,0208020
9802051,9604134
9802051,9512138
9802051,9602102
9802051,9406198
9802051,9611140
9802051,9505162
9802051,9710046
9802051,9711138
9802051,9512031
9802051,9601152
9802051,9603113
9802051,9705221
9802051,9504047
9802051,9710231
9802051,9712084
9802051,9711053
9802051,9606036
9802051,9602114
9802051,9703166
9802051,9705113
9802051,9601029
9802051,9505073
9802051,9609082
9802051,9712253
9802051,9602052
9802051,9712004
9802051,9609084
9802051,9801182
9802051,9708130
9802051,9207053
9802051,9704089
9802051,9712213
9802051,9709013
9802051,9601036
9802051,9602043
9802051,9705078
9802051,9505105
9802051,9205008
9802051,9701162
9802051,9701165
9802051,9611186
9802051,9612146
9802051,9712150
9802051,9608024
9802051,9504027
9802051,9702061
9802051,9412184
9802051,9605184
9802051,9610041
9802051,9609176
9802051,9705175
9802051,9603090
9802051,9707123
9802051,9611190
9802051,9603061
9802051,9709220
9802051,9610105
9802051,9710246
9802051,9512078
9802051,9711003
9802051,9602022
9802051,9603150
9802051,9408083
9802051,9209016
9802051,9801132
9802051,9510086
9802051,9605150
9802051,9611137
9802051,9605091
9802051,9511030
9802051,9612121
9802051,9501030
9802051,9710178
9802051,9702136
9802051,9611050
9802051,9702201
9802051,9712047
9802051,9611119
9802051,9611203
9802051,9606185
9802051,9612192
9802051,9506200
9802051,9503057
9802051,9209125
9802051,9508155
9802051,9508154
9802051,9711067
9802051,9506126
9802051,9606176
9802051,9607050
9802051,9601177
9802051,9705030
9802051,9512196
9802051,9712072
9802051,9607041
9802051,9611125
9802051,9510225
9802051,9605131
9802051,9512043
9802051,9504147
9802051,9605234
9802051,9609204
9802051,9401139
9802051,9705131
9802051,9410167
9802051,9506110
9802051,9401133
9802051,9603161
9802051,9702155
9802051,9607201
9802051,9607057
9802051,9305068
9802051,9801144
9802051,9411028
9802051,9611222
9802057,9704173
9802057,9708046
9802057,9706221
9802057,9610166
9802057,9211021
9802057,9702043
9802057,9710188
9802057,9610238
9802057,9709022
9802057,9701082
9802057,9711027
9802057,9705050
9802057,9609087
0203083,9905111
0203083,0107031
0203083,0106247
0203083,9803131
0203083,0103171
0203083,0003179
0203083,0101126
0203083,0112223
0203083,0002145
0203083,9711200
0203083,0110265
0203083,0106191
0203083,0110108
0203083,0112218
0203083,0111093
0203083,0007146
0203083,0109213
0203083,0110062
0203083,9905104
0203083,0202008
0203083,0112093
0203083,0106113
0203083,0201174
0203083,9809022
0203083,9808017
0203083,9806146
0203083,0106184
0203083,0202094
0203083,0106209
0101159,0002171
0101159,0107022
0101159,9903107
0101159,9210158
0101159,0005129
0101159,0003137
0101159,0003176
0101159,0005272
0101159,0102101
0101159,0003227
0101159,0109222
0101159,0007050
0101159,9912167
0101159,0101109
0206220,0107177
0206220,9807080
0206220,0101020
0206220,0202189
0206220,0011127
0206220,0204047
0206220,9301052
0206220,9301043
0206220,0111057
0210178,9412184
0210178,0102114
0210178,9602022
0210178,9410167
0210178,9809039
9907012,9708046
9907012,9902097
9907012,9706221
9907012,9211021
9907012,9702043
9907012,9710188
9907012,9902126
9907012,9811089
9907011,9712004
9907011,9602022
9907011,9703060
9907011,9710141
9907011,9812161
9907011,9712017
9907011,9604139
9907011,9607201
9907011,9904109
9907011,9711127
9907011,9612164
9907011,9612008
9907019,9608095
9907019,9801180
9907019,9604035
9907019,9512059
9907019,9702164
9907019,9701088
9907019,9612236
9907019,9708157
9907019,9710046
9907019,9608117
9907019,9702077
9907019,9607201
9907019,9805113
9907019,9701042
9907019,9705036
9907019,9611026
9907019,9606033
9907019,9612089
9907019,9803006
9907019,9702079
9907019,9410167
9907019,9609212
9907019,9412184
9907019,9802121
9907019,9704120
0211222,0207171
0211222,0203161
0211222,0205236
0211222,0109069
0211222,9905094
0211222,9710005
0211222,0111135
0211222,9805171
0211222,9903213
0211222,9711200
0211222,9712071
0211222,0203257
0211222,9803163
0211222,9910016
0211222,9707093
0211222,9804027
0211222,9707158
0211222,0011156
0211222,0205297
0211222,9905104
0211222,0012179
0211222,9807098
0211222,9910098
0211222,9301042
0211222,0203020
0211222,0109017
0211222,9804058
0211222,0204054
0211222,0111210
0211222,9803216
0211222,0002222
0211220,0202021
0211220,0208178
0211220,0211188
0211220,0208148
0211220,0210246
0211220,0210153
0211220,0205066
0211220,0205089
0211220,0209002
0211220,0206059
0211220,0206005
0211220,0208209
0211220,0205048
0211220,0204146
0211220,0209215
0211220,0210102
0211220,0206221
0008164,9809034
0008164,9608061
0008164,9602022
0008164,9705205
0008164,0002140
0008164,9806042
0008164,9710141
0008164,9812161
0008164,0003100
0008164,9906223
0008164,9711200
0008164,9804028
0008164,9604139
0008164,9810226
0008164,9803188
0008164,0004195
0008164,9904063
0008164,9707215
0008164,9802047
0008164,9703060
0008164,9806085
0008167,9811031
0008167,9709099
0008167,9705120
0008167,9908105
0008167,9801182
0008167,9907107
0008167,9709087
0008167,9912271
0008167,9911221
0008167,9706099
0008167,9706079
0008169,9912271
0008169,9706079
0008169,9705120
0008169,9911221
9903210,9707224
9903210,9510086
9903210,9708062
9903210,9710206
9903210,9707126
